date,open,high,low,close,volume
2025-05-29 15:15:00,588.53,588.66,588.3,588.6199,238489.0
2025-05-29 15:16:00,588.58,588.785,588.53,588.77,126683.0
2025-05-29 15:17:00,588.775,588.87,588.67,588.85,139940.0
2025-05-29 15:18:00,588.85,589.09,588.85,589.09,158684.0
2025-05-29 15:19:00,589.0901,589.2,589.04,589.165,129815.0
2025-05-29 15:20:00,589.15,589.36,589.12,589.25,134159.0
2025-05-29 15:21:00,589.29,589.48,589.25,589.37,143994.0
2025-05-29 15:22:00,589.375,589.38,589.22,589.32,88410.0
2025-05-29 15:23:00,589.31,589.67,589.27,589.6501,207154.0
2025-05-29 15:24:00,589.66,589.68,589.4401,589.5101,80175.0
2025-05-29 15:25:00,589.51,589.67,589.4401,589.665,88191.0
2025-05-29 15:26:00,589.68,589.73,589.39,589.39,212883.0
2025-05-29 15:27:00,589.39,589.4,589.05,589.06,137140.0
2025-05-29 15:28:00,589.03,589.11,588.95,589.0,122339.0
2025-05-29 15:29:00,588.98,589.03,588.84,588.89,74782.0
2025-05-29 15:30:00,588.89,589.285,588.88,589.2301,156364.0
2025-05-29 15:31:00,589.23,589.35,589.2,589.225,100141.0
2025-05-29 15:32:00,589.21,589.29,589.095,589.25,69196.0
2025-05-29 15:33:00,589.26,589.34,589.15,589.23,68860.0
2025-05-29 15:34:00,589.23,589.26,589.125,589.19,93934.0
2025-05-29 15:35:00,589.18,589.235,589.07,589.11,143814.0
2025-05-29 15:36:00,589.12,589.23,588.97,589.18,159845.0
2025-05-29 15:37:00,589.18,589.26,589.03,589.07,105077.0
2025-05-29 15:38:00,589.07,589.12,588.91,589.0,99140.0
2025-05-29 15:39:00,589.01,589.055,588.92,588.98,104748.0
2025-05-29 15:40:00,588.99,589.46,588.99,589.365,159958.0
2025-05-29 15:41:00,589.365,589.43,589.23,589.3899,251575.0
2025-05-29 15:42:00,589.3801,589.435,589.2901,589.305,85872.0
2025-05-29 15:43:00,589.3,589.39,589.21,589.24,94190.0
2025-05-29 15:44:00,589.225,589.35,589.185,589.28,86832.0
2025-05-29 15:45:00,589.29,589.63,589.24,589.59,210113.0
2025-05-29 15:46:00,589.5993,589.93,589.52,589.91,240163.0
2025-05-29 15:47:00,589.915,590.05,589.69,590.04,336475.0
2025-05-29 15:48:00,590.05,590.28,589.655,589.66,349375.0
2025-05-29 15:49:00,589.66,589.975,589.56,589.93,358615.0
2025-05-29 15:50:00,589.97,590.665,589.9,590.22,734689.0
2025-05-29 15:51:00,590.23,590.32,589.67,589.93,646342.0
2025-05-29 15:52:00,589.94,590.11,589.61,589.775,561433.0
2025-05-29 15:53:00,589.775,589.92,589.14,589.15,702049.0
